LongF,LatF,LongG,LatG,preposition,locatumdesgroup,relatumdescgroup,Euclid Distance,DirectionModified
530777.839,181031.3241,530747.6384,180994.6098,next to,buildings,buildings,47.46892705,220.9150366
532056.3398,181466.2398,532083.2037,181505.6036,on,land,roads tracks and paths,47.59682509,35.8006269
530145.8322,180007.8397,530103.295,180029.6741,behind,buildings,buildings,47.69809766,298.6379435
530428.8678,180557.6972,530380.9919,180557.7018,on,roads tracks and paths,roads tracks and paths,47.73207562,271.4754806
530175.5173,180631.3999,530221.9157,180619.3671,at,buildings,roads tracks and paths,47.79982972,106.0059724
530099.9112,181121.6333,530064.1683,181089.6153,towards,roads tracks and paths,roads tracks and paths,47.8962369,229.6130425
530149.7037,180526.5878,530103.7848,180540.9054,behind,structure,buildings,47.96772168,288.7841218
531960.8561,181072.1695,531959.5356,181024.0921,behind,buildings,buildings,48.07781698,183.0607567
530155.6516,180325.2349,530201.3076,180308.8536,over,buildings,buildings,48.3781765,111.2052994
533612.8375,181343.2839,533568.5051,181363.0009,on,buildings,roads tracks and paths,48.39831338,295.4841343
531041.0381,180886.4263,531074.0592,180850.7438,on,buildings,roads tracks and paths,48.5433731,138.6949779
530340.1765,180712.9183,530346.6548,180761.0787,near,roads tracks and paths,roads tracks and paths,48.57314969,9.131796308
530263.9635,180758.0579,530295.6879,180795.1686,in,buildings,roads tracks and paths,48.74712101,41.99380506
530363.615,180318.055,530320.0973,180340.5868,close to,buildings,buildings,48.88880263,298.8425323
530084.6381,180292.7232,530053.1069,180330.4479,in,buildings,roads tracks and paths,49.09824222,321.5775724
530647.6707,179961.4559,530607.6082,179990.8062,near,general surface,structure,49.56346407,307.6996471
530647.6707,179961.4559,530607.6082,179990.8062,towards,land,structure,49.56346407,307.6996471
530328.9187,180440.6566,530285.4699,180416.4775,alongside,roads tracks and paths,buildings,49.60326999,242.3721834
530285.4699,180416.4775,530328.9187,180440.6566,on,buildings,roads tracks and paths,49.60326999,62.37168665
530366.3645,180901.8038,530322.8606,180877.5803,at,buildings,roads tracks and paths,49.67155742,242.3599314
530520.7492,180650.0027,530507.7359,180601.9225,on,roads tracks and paths,roads tracks and paths,49.77998658,196.615561
530316.7658,180894.9469,530366.3645,180901.8038,in,buildings,buildings,49.92190064,83.59893189
530834.417,180880.2426,530839.6317,180830.2371,on,buildings,buildings,50.256102,175.5206432
533612.8375,181343.2839,533633.6365,181389.255,on,buildings,roads tracks and paths,50.41102523,25.85130458
533363.3386,181215.4264,533340.9394,181170.1634,behind,buildings,roads tracks and paths,50.45335578,207.8339552
533340.9394,181170.1634,533363.3386,181215.4264,near,roads tracks and paths,buildings,50.45335578,27.83368929
530549.7465,180511.4336,530509.2934,180542.1613,behind,structure,structure,50.70024358,308.6910797
530632.8081,181024.2431,530586.2414,181003.8222,on,buildings,roads tracks and paths,50.71520452,247.7942506
530256.4686,180366.4614,530206.8476,180379.0952,outside,structure,buildings,51.06047454,285.7533737
530016.7535,180419.4646,530037.1828,180372.3283,behind,structure,structure,51.33497314,158.0347056
530470.2419,180994.37,530438.8072,180953.6854,at,buildings,roads tracks and paths,51.34071285,219.1623161
531997.4677,181674.4839,531960.3555,181710.4904,near,roads tracks and paths,buildings,51.62270734,315.621523
530202.1221,180860.9141,530253.9792,180863.7576,over,roads tracks and paths,roads tracks and paths,51.77959514,88.32923995
532211.7881,181606.5138,532250.0982,181571.3201,near,buildings,buildings,51.93164923,134.0638743
533468.1062,181188.2156,533463.006,181239.9192,on,roads tracks and paths,roads tracks and paths,51.93312959,355.8723177
533499.8223,181386.4576,533542.873,181417.0575,near,buildings,general surface,52.70189738,56.10309803
